id,vendor,family,part_numbers,aliases,standards,bands,sdr_tier,sdr_capabilities,fw_arch,fw_openness,fw_re_tooling,key_projects,common_hardware,status,references,notes
atheros-ar9382,Qualcomm Atheros,AR9003 (ath9k),AR9382,AR9382; QCA9300 family,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,3,monitor; injection; csi; spectral-scan,none (SoftMAC),open,,Atheros-CSI-Tool; PicoScenes,"2×2 dual-band 11n mini-PCIe (QCA9300 family, sibling of AR9380)",verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath9k.html; https://github.com/xieyaxiongfly/Atheros-CSI-Tool,AR9003 2×2 dual-band member of the QCA9300 family (the 2-stream cut of the AR9380). ath9k SoftMAC: spectral scan (Tier 3) + CSI. Covered by PicoScenes' QCA9300 receiver with arbitrary carrier tuning and 2.5-80 MHz baseband sampling.
atheros-ar9462,Qualcomm Atheros,ath9k (AR9003),AR9462; AR5B22,AR9462; Wasp; QCWB335 (module),802.11a; 802.11b; 802.11g; 802.11n; Bluetooth 4.0,2.4GHz; 5GHz,3,monitor; injection; csi; spectral-scan,none — SoftMAC (ar9003 baseband); BT coex block separate,open,ath9k; Atheros-CSI-Tool,Atheros-CSI-Tool,AR5B22 half-mini-PCIe combo cards (2012-2014 laptops); Qualcomm QCWB335,verified,https://github.com/xieyaxiongfly/Atheros-CSI-Tool; https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath9k/spectral_scan.html,Extremely common OEM laptop card (AR5B22). BT combo does not affect the Wi-Fi PHY telemetry paths.
atheros-ar9485,Qualcomm Atheros,ath9k (AR9003),AR9485; AR5B125,AR9485; Poseidon; QCA9485,802.11b; 802.11g; 802.11n,2.4GHz,3,monitor; injection; csi; spectral-scan,"none — SoftMAC (ar9003 baseband), driven by host ath9k driver",open,ath9k; Atheros-CSI-Tool,Atheros-CSI-Tool,AR5B125 half-mini-PCIe (low-cost 2012-era laptops),verified,https://github.com/xieyaxiongfly/Atheros-CSI-Tool; https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath9k/spectral_scan.html,Cheapest entry into the AR9003 CSI/spectral capability.
atheros-ar9580,Qualcomm Atheros,ath9k (AR9003),AR9580,AR9580; QCA9580; Peacock,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,3,monitor; injection; csi; spectral-scan,"none — SoftMAC (ar9003 baseband), driven by host ath9k driver",open,ath9k; Atheros-CSI-Tool; PicoScenes,Atheros-CSI-Tool (tested target),AR9580 3x3 PCIe desktop/router cards; Compex WLE350NX,verified,https://github.com/xieyaxiongfly/Atheros-CSI-Tool; https://picoscenes.readthedocs.io/,"Atheros-CSI-Tool was validated on AR9580, AR9590, AR9344, QCA9558. Three RX chains give the richest CSI in the 11n line."
atheros-ar9590,Qualcomm Atheros,AR93xx,AR9590,AR9590,802.11n,2.4GHz; 5GHz,3,monitor; injection; csi; spectral-scan,none (host-driven MAC/PHY via ath9k),documented,ath9k source; Atheros-CSI-Tool; fft_eval; speccy,Atheros-CSI-Tool,3x3 PCIe reference/OEM cards,verified,https://github.com/xieyaxiongfly/Atheros-CSI-Tool; https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath9k/spectral_scan.html,"3x3 802.11n PCIe PHY explicitly validated by the Atheros-CSI-Tool authors for per-packet CSI extraction; also exposes the mainline ath9k spectral-scan debugfs interface (Tier 3, 56/128-bin FFT). No firmware patch needed — the driver drives the PHY directly. Sibling to AR9380/AR9580."
qualcomm-qca9558,Qualcomm Atheros,AR9x SoC,QCA9558,QCA9558; AR9558,802.11n,2.4GHz,2,monitor; injection; csi; spectral-scan,MIPS 74Kc SoC (host CPU) + ath9k PHY,documented,OpenWRT; Atheros_CSI_tool_OpenWRT_src; ath9k source,Atheros CSI Tool OpenWRT,OpenWRT 3x3 802.11n routers (e.g. TL-WDR class),verified,https://github.com/xieyaxiongfly/Atheros-CSI-Tool; https://github.com/xieyaxiongfly/Atheros_CSI_tool_OpenWRT_src/wiki,3x3 802.11n SoC explicitly validated by the Atheros-CSI-Tool authors (OpenWRT path); delivers 3x3 per-packet CSI (Tier 2) and ath9k spectral scan (Tier 3) with no firmware patch. On-device modified ath9k makes it a self-contained CSI sensing router.
qualcomm-qca9880,Qualcomm Atheros,ath10k (11ac wave-1),QCA9880; QCA9882; QCA9884,QCA9880; QCA9882; QCA9884; Peregrine,802.11a; 802.11n; 802.11ac,2.4GHz; 5GHz,3,monitor; injection; spectral-scan,"Tensilica Xtensa (on-chip), closed firmware blob loaded by ath10k",closed,ghidra; ath10k-ct (patched binary firmware),ath10k spectral scan; ath10k-ct (Candela),Compex WLE900VX (3x3); Compex WLE600VX (2x2); TP-Link/Netgear 11ac AP radios,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath10k/spectral.html; https://github.com/greearb/ath10k-ct,"Moving to 11ac introduced a closed on-chip firmware (unlike SoftMAC ath9k). ath10k-ct is a patched binary firmware, not open source. CSI is not turnkey on ath10k."
qualcomm-qca9984,Qualcomm Atheros,ath10k (11ac wave-2),QCA9980; QCA9984; QCA9888,QCA9984; QCA9980; QCA9888; Cascade,"802.11a; 802.11n; 802.11ac (wave-2, MU-MIMO)",2.4GHz; 5GHz,3,monitor; injection; spectral-scan,"Tensilica Xtensa (on-chip), closed firmware blob loaded by ath10k",closed,ghidra; ath10k-ct,ath10k spectral scan; QCA9984/QCA9888 spectral header fix,Compex WLE1216 (4x4 QCA9984); Compex WLE900V5; QCA9888 2x2 AP radios,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath10k/spectral.html; https://patchwork.kernel.org/patch/10435031/,80+80/160 MHz support means wider FFT captures. QCA9888 is the 2x2 sibling.
quantenna-qsr10g,Quantenna,QSR (Topaz/Ruby),QSR10G; QSR1000,QSR10G; QSR1000; Topaz; Ruby,802.11n; 802.11ac,2.4GHz; 5GHz,2,monitor; csi,embedded Linux on quad ARC core cluster,partially-documented,ghidra,Quantenna Communications overview,high-end 4x4/8x8 802.11ac routers; Wi-Fi mesh nodes,reported,https://en.wikipedia.org/wiki/Quantenna_Communications,"Runs embedded Linux internally on ARC cores; Quantenna publicly marketed Wi-Fi Sensing/CSI on these parts, making a documented CSI path plausible (tier 2 reported). No packaged community toolchain."
quantenna-qsr3610,Quantenna (ON Semiconductor),QSR3610 / QSR3620 (802.11ac client),QSR3610; QSR3620,QSR3610; QSR3620,802.11ac; 802.11n,2.4GHz; 5GHz,1,monitor,"Quantenna on-chip processor + MAC/PHY, closed firmware",closed,vendor driver only; no packaged community tooling,,QSR3610 client modules / retail Wi-Fi adapters,reported,https://en.wikipedia.org/wiki/Quantenna_Communications,"Lower-tier 802.11ac client sibling of the catalogued quantenna-qsr10g. Quantenna marketed Wi-Fi Sensing/CSI at the platform level (see qsr10g), which makes a CSI path plausible here too, but there is no packaged public client tooling — so this is Tier 1 (monitor via vendor driver) with sensing status reported. Details are thin; part-number specifics are reported, not verified. Net-new record."
ralink-rt2400,Ralink,Ralink RT2400 (rt2x00),RT2400; RT2460,RT2460; RT2400PCI,802.11b,2.4GHz,1,monitor; injection,proprietary MAC microcode,closed,,rt2x00 (rt2400pci),early 802.11b mini-PCI/PCI cards,verified,https://wireless.wiki.kernel.org/en/users/drivers/rt2x00; https://wireless.wiki.kernel.org/en/users/drivers/ralink,"Earliest Ralink generation, 802.11b 1T1R. Open rt2400pci SoftMAC driver gives monitor + injection (Tier 1) but the part is 2.4 GHz b-only and effectively obsolete. No CSI/spectral path ever existed for it."
ralink-rt2860,Ralink,Ralink RT2800 PCI (rt2800pci),RT2760; RT2770; RT2790; RT2860; RT2880,RT28xx; RT2700-class; RT2800-class,802.11n,2.4GHz,1,monitor; injection,proprietary MAC microcode (rt2860.bin),closed,,rt2x00 (rt2800pci),802.11n mini-PCIe cards; early Ralink 11n routers,verified,https://wireless.wiki.kernel.org/en/users/drivers/rt2800pci; https://wireless.wiki.kernel.org/en/users/drivers/ralink,PCI/mini-PCIe 802.11n family (RT2760/RT2770/RT2790/RT2860/RT2880) — the internal-card counterpart to the already-catalogued RT2870/RT3070 USB. Open rt2800pci SoftMAC driver → monitor + injection (Tier 1). Most are 2.4 GHz; a few 3T3R/RT288x variants add 5 GHz. Closed MAC microcode blob; no CSI/spectral unlock.
ralink-rt3090,Ralink,Ralink RT3000 PCIe (rt2800pci),RT3060; RT3090; RT3390,RT3090; RT3390; RT3060,802.11n,2.4GHz,1,monitor; injection,proprietary MAC microcode (rt3090.bin),closed,,rt2x00 (rt2800pci),1x1 802.11n mini-PCIe laptop cards,verified,https://wireless.wiki.kernel.org/en/users/drivers/rt2800pci,"Low-cost 1T1R 802.11n mini-PCIe parts (RT3090, the RT3390 Wi-Fi/BT-combo variant, RT3060). Normal rt2800pci SoftMAC monitor + injection, Tier 1. Closed microcode; no PHY-telemetry path."
ralink-rt3290,Ralink,Ralink RT3290 combo (rt2800pci),RT3290,RT3290; RT3290LE,802.11n,2.4GHz,1,monitor; injection,proprietary MAC microcode,closed,,rt2x00 (rt2800pci),HP/Compaq laptops (RT3290 Wi-Fi+BT),verified,https://wireless.wiki.kernel.org/en/users/drivers/rt2800pci,"1T1R 802.11n + Bluetooth combo common in HP laptops. The Wi-Fi side is ordinary rt2800pci (Tier 1 monitor/injection, if sometimes finicky on Linux); Bluetooth is a separate function. No CSI/spectral."
ralink-rt3352,Ralink,Ralink RT305x/RT3352 SoC (rt2800soc),RT3050; RT3052; RT3350; RT3352,RT305x; RT3050; RT3052; RT3350,802.11n,2.4GHz,1,monitor; injection,proprietary MAC microcode (on-SoC),closed,,rt2x00 (rt2800soc); OpenWrt MediaTek/Ralink SoC,cheap MIPS 802.11n routers/IoT boards (OpenWrt targets),verified,https://openwrt.org/docs/techref/hardware/soc/soc.mediatek; https://wireless.wiki.kernel.org/en/users/drivers/rt2800pci,"MIPS router SoCs with integrated 2T2R (RT3352/RT3350) or 1–2 stream (RT305x) 802.11n radio, driven by the in-SoC rt2800soc path. Open SoftMAC → monitor + injection on OpenWrt (Tier 1). Closed MAC microcode; no CSI/spectral."
ralink-rt5350,Ralink,Ralink RT5350 SoC (rt2800soc),RT5350,RT5350; RT5350F,802.11n,2.4GHz,1,monitor; injection,proprietary MAC microcode (on-SoC),closed,,OpenWrt MediaTek/Ralink SoC,"ultra-cheap MIPS Wi-Fi modules (VoCore-class, OpenWrt)",verified,https://openwrt.org/docs/techref/hardware/soc/soc.mediatek,"Very low-cost 1T1R 802.11n MIPS SoC (per OpenWrt, software-compatible with MT7620 but slower and without hardware 802.11w). rt2800soc SoftMAC → Tier 1 monitor/injection. Closed microcode; no PHY telemetry."
ralink-rt5390-rt5392,Ralink,Ralink RT539x PCIe (rt2800pci),RT5390; RT5392,RT5390; RT5392,802.11n,2.4GHz,1,monitor; injection,proprietary MAC microcode,closed,,rt2x00 (rt2800pci),1x1 (RT5390) / 2x2 (RT5392) 802.11n mini-PCIe laptop cards,verified,https://wireless.wiki.kernel.org/en/users/drivers/rt2800pci,"Late Ralink low-power 802.11n PCIe: RT5390 1T1R, RT5392 2T2R. Both rt2800pci SoftMAC → Tier 1 monitor/injection. The 2.4 GHz-only PCIe complement to the catalogued RT5370/RT5372 USB parts. Closed microcode; no CSI/spectral."
ralink-rt61-rt73,Ralink,Ralink RT61/RT73 (rt2x00),RT2561; RT2661; RT2571W; RT2573,RT61; RT73; RT2600-class,802.11g,2.4GHz,1,monitor; injection,proprietary MAC microcode (rt2661/rt73 blob),closed,,rt2x00 (rt61pci/rt73usb),802.11g PCI cards (rt61pci); 802.11g USB dongles (rt73usb),verified,https://wireless.wiki.kernel.org/en/users/drivers/rt2x00; https://wireless.wiki.kernel.org/en/users/drivers/ralink,"The Ralink 802.11g generation (the 'RT2600'-class label in the sweep maps here): RT2561/RT2661 on rt61pci, RT2571W/RT2573 on rt73usb. Open SoftMAC drivers → reliable monitor + injection, a classic aircrack-ng-era g adapter. Tier 1 only; no CSI/spectral."
ralink-rt5572,Ralink (MediaTek),RT5572,RT5572,RT5572; MediaTek RT5572; Panda PAU09; Panda PAU07,802.11n,2.4GHz; 5GHz,1,monitor; injection,Ralink/MediaTek hardware MAC + closed ucode blob,closed,,rt2800usb / rt2x00 (mainline kernel); aircrack-ng,Panda Wireless PAU09 (N600 dual-band); Panda Wireless PAU07; various dual-band 802.11n USB dongles,verified,https://deviwiki.com/wiki/Panda_Wireless_PAU09; https://wireless.wiki.kernel.org/en/users/drivers/rt2800usb; https://github.com/morrownr/USB-WiFi,"Dual-band (2.4/5 GHz) 2x2 802.11n USB part, the dual-band sibling of the RT5370/RT5372. Supported in-kernel by rt2800usb/rt2x00, giving clean monitor mode + frame injection with no out-of-tree DKMS build - the cheapest no-hassle dual-band injector. Stalls at tier 1: no public CSI or spectral path on Ralink/MediaTek legacy USB silicon. Cataloged because the Panda PAU09 is a very common recommendation and is a distinct chip from the 2.4-only PAU05/PAU06 (RT5372)."
realtek-rtl8180,Realtek,RTL818x (legacy PCI b),RTL8180; RTL8180L,RTL8180L,802.11b,2.4GHz,1,monitor; injection,thin on-chip sequencer,closed,,rtl818x_pci (mainline mac80211),early PCI Wi-Fi cards; Belkin/D-Link 802.11b PCI,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtl818x; https://wireless.docs.kernel.org/en/latest/en/users/drivers/rtl8180.html,"Realtek's original 802.11b PCI softMAC. Mainline rtl818x_pci is a mac80211 driver, so monitor + injection work out of the box. Historically important, band-limited (b only). Tier 1."
realtek-rtl8185,Realtek,RTL818x (legacy PCI g),RTL8185; RTL8185L,RTL8185L; RTL8225,802.11b; 802.11g,2.4GHz,1,monitor; injection,thin on-chip sequencer,closed,,rtl818x_pci (mainline),802.11g PCI cards; Airlink/Encore g PCI,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtl818x,"802.11g PCI successor to the 8180, same mainline rtl818x_pci softMAC path. Monitor + injection functional. Tier 1, 2.4 GHz only."
realtek-rtl8187b,Realtek,RTL8187 (legacy USB g),RTL8187B,RTL8187B,802.11b; 802.11g,2.4GHz,1,monitor; injection,thin on-chip ucode,closed,,rtl8187 (mainline mac80211),USB 802.11g dongles; some Alfa AWUS036 variants,verified,https://www.aircrack-ng.org/doku.php?id=rtl8187; https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtl818x/rtl8187,"USB sibling of the famous 8187L, handled by the same mainline rtl8187 driver; monitor + injection supported. 802.11g, 2.4 GHz. Slightly different RF front-end than the 8187L (generally lower TX), but the same softMAC injection story. Tier 1."
realtek-rtl8187l,Realtek,RTL8187,RTL8187L; RTL8187B,RTL8187; RTL8187L; Alfa AWUS036H,802.11b; 802.11g,2.4GHz,1,monitor; injection,Thin on-chip MAC ucode (near soft-MAC to host),closed,ghidra; ida,in-kernel rtl8187 (mac80211),Alfa AWUS036H; various USB dongles,verified,https://www.aircrack-ng.org/doku.php?id=r8187,"Original BackTrack-era injection card. Mainline mac80211 driver = monitor+injection out of the box. 2.4GHz only, high TX power. Tier 1."
realtek-rtl8188cus,Realtek,RTL8192C (USB n),RTL8188CUS; RTL8188RU,RTL8188CUS; RTL8188RU; RTL8192CU-1x1,802.11n,2.4GHz,1,monitor; injection,8051-class MAC ucode,closed,,rtl8xxxu (mainline RE driver); rtl8192cu (rtlwifi),Edimax EW-7811Un; Raspberry Pi-era nano dongles; Alfa AWUS036NHR (8188RU high-power),verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtl8xxxu; https://www.aircrack-ng.org/doku.php?id=compatibility_drivers,1x1 802.11n USB variant of the RTL8192C family (8192CU already catalogued as the 2x2/generic part). 8188CUS is the Edimax EW-7811Un / classic Raspberry Pi dongle; 8188RU is the high-power radio used in the Alfa AWUS036NHR. Monitor + injection via rtl8xxxu / rtl8192cu. Tier 1.
realtek-rtl8188ee,Realtek,RTL8188E (PCIe n),RTL8188EE,RTL8188EE,802.11n,2.4GHz,1,monitor,8051-class MAC ucode,closed,,rtl8188ee (rtlwifi),budget laptop mini-PCIe cards,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtlwifi,PCIe 1x1 802.11n sibling of the 8188EU/EUS USB parts. rtlwifi rtl8188ee supports monitor RX; injection unreliable. Tier 1 (monitor only).
realtek-rtl8188eus,Realtek,RTL8188E,RTL8188EU; RTL8188EUS; RTL8188CUS,RTL8188EU; RTL8188EUS; RTL8188CUS; TL-WN722N v2/v3,802.11n,2.4GHz,1,monitor; injection,8051-class MCU + HW MAC/baseband,closed,ghidra; ida,aircrack-ng/rtl8188eus,Alfa AWUS036NEH; TP-Link TL-WN722N v2/v3; cheap nano USB dongles,verified,https://github.com/aircrack-ng/rtl8188eus,Cheap ubiquitous 2.4GHz n monitor/injection default. aircrack-ng/rtl8188eus is the reference DKMS driver. TL-WN722N v2/v3 use this (v1 was Atheros).
realtek-rtl8188fu,Realtek,RTL8188F,RTL8188FU; RTL8188FTV,RTL8188FU; RTL8188FTV,802.11n,2.4GHz,1,monitor; injection,8051-class MCU + HW MAC/baseband,closed,ghidra; ida,rtl8188fu (out-of-tree),cheap 2.4GHz nano USB dongles,reported,https://github.com/kelebek333/rtl8188fu,"Later cheap 2.4GHz n part; monitor via out-of-tree forks, injection partial/flaky vs 8188EUS."
realtek-rtl8188gu,Realtek,RTL8188G (USB n),RTL8188GU,RTL8188GU,802.11n,2.4GHz,1,monitor; injection,8051-class MAC ucode,closed,,rtl8xxxu (recent),late cheap nano n dongles,reported,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtl8xxxu; https://github.com/morrownr/USB-WiFi,Newer low-cost 802.11n 1x1 USB part; recent rtl8xxxu adds support. Monitor works; injection reported but less battle-tested than 8188EUS. Tier 1.
realtek-rtl8192ce,Realtek,RTL8192C (PCIe n),RTL8188CE; RTL8192CE,RTL8188CE; RTL8192CE,802.11n,2.4GHz,1,monitor,8051-class MAC ucode,closed,,rtl8192ce (rtlwifi),laptop mini-PCIe/half-size cards; many 2011-era notebooks,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtlwifi; https://wireless.docs.kernel.org/en/latest/en/users/drivers/rtl8192ce.html,"PCIe 802.11n (8188CE = 1x1, 8192CE = 2x2). Mainline rtlwifi rtl8192ce registers monitor mode so RX capture works, but injection on rtlwifi is unreliable/broken. Tier 1 (monitor only) — not an injection card."
realtek-rtl8192cu,Realtek,RTL8192C,RTL8192CU; RTL8192EU,RTL8192CU; RTL8192EU,802.11n,2.4GHz,1,monitor; injection,8051-class MCU + HW MAC/baseband,closed,ghidra; ida,"rtl8xxxu (in-kernel, reverse-engineered)",many OEM 2.4GHz USB dongles,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtl8xxxu,Very common 2.4GHz 802.11n dongle. Monitor works; injection quality depends on rtl8192cu vs rtl8xxxu driver.
realtek-rtl8192de,Realtek,RTL8192D (dual-band n),RTL8192DE; RTL8192DU,RTL8192DE; RTL8192DU,802.11n,2.4GHz; 5GHz,1,monitor,8051-class MAC ucode,closed,,rtl8192de (rtlwifi),dual-band n laptop cards; dual-band n USB dongles,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtlwifi,Realtek's dual-band (2.4+5 GHz) 802.11n part — 8192DE (PCIe) and 8192DU (USB). Monitor RX via rtlwifi/rtl8192du; injection weak. Notable mainly as the first dual-band Realtek. Tier 1 (monitor only).
realtek-rtl8192se,Realtek,RTL8192S (PCIe n),RTL8191SE; RTL8192SE,RTL8191SE; RTL8192SE,802.11n,2.4GHz,1,monitor,8051-class MAC ucode,closed,,rtl8192se (rtlwifi),early-n laptop mini-PCIe cards,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtlwifi,"Early 802.11n PCIe (8191SE 1x1 / 8192SE 2x2), rtlwifi rtl8192se. Monitor RX works; injection unreliable. Tier 1 (monitor only)."
realtek-rtl8192su,Realtek,RTL8192S (USB n),RTL8192SU; RTL8191SU; RTL8712,RTL8191SU; RTL8712; RTL8188SU,802.11n,2.4GHz,1,monitor,8051-class MAC ucode,closed,,r8712u (staging),early 802.11n USB dongles; D-Link DWA-130 rev D,reported,https://github.com/torvalds/linux/tree/master/drivers/staging/rtl8712; https://www.aircrack-ng.org/doku.php?id=compatibility_drivers,"Early Realtek 802.11n USB (RTL8712/8192SU). The in-tree r8712u staging driver is fullmac-ish and monitor support is limited/flaky; injection is not reliably supported. Catalogued for completeness. Tier 1 (monitor, partial)."
realtek-rtl8195a,Realtek,Ameba (Ameba1 MCU),RTL8195A; RTL8195AM; RTL8711AM,RTL8195AM; RTL8711AM; RTL8711AF,802.11n,2.4GHz,1,monitor; open-firmware,Arm Cortex-M3,documented,Ameba SDK; GCC,Ameba Arduino / SDK,Ameba1 dev board (RTL8195AM); Realtek Ameba Arduino board,verified,https://www.amebaiot.com/en/; https://github.com/ambiot,"The original Ameba Wi-Fi MCU (Cortex-M3, 802.11n). Open, documented FreeRTOS/Arduino SDK and promiscuous-mode ('monitor') APIs, but this generation predates the Wi-Fi CSI API — no per-subcarrier I/Q. Interesting as an open-firmware target, but honestly Tier 1 (no CSI). The RTL8711AM is the same Ameba1 die."
realtek-rtl8710,Realtek,Ameba (AmebaZ MCU),RTL8710AF; RTL8710BN; RTL8710BX,RTL8710AF; RTL8710BN; RTL8710BX; RTL8710BU,802.11n,2.4GHz,1,monitor; open-firmware,Arm Cortex-M0/M3,documented,Ameba SDK; GCC,AmebaZ SDK / ambiot,low-cost Wi-Fi MCU modules; smart-plug/bulb modules,verified,https://www.amebaiot.com/en/; https://github.com/ambiot,"Low-cost single-band Wi-Fi MCU (AmebaZ family), 2.4 GHz 802.11n, popular in cheap IoT (smart plugs/bulbs). Open documented SDK with promiscuous mode. Classic AmebaZ parts (8710AF/BN/BX) have no CSI API — Tier 1. Note: the newer RTL8710E belongs to the AmebaLite generation (separate record) and does expose CSI."
realtek-rtl8720dn,Realtek,Ameba D,RTL8720DN; RTL8721DM,RTL8720DN; BW16; Ameba D; RTL8721Dx,802.11b; 802.11g; 802.11n; BLE 5.0,2.4GHz; 5GHz,2,csi; monitor; open-firmware,"Arm Cortex-M4F (KM4, 200MHz) + Cortex-M0 (KM0, 20MHz), FreeRTOS SDK",documented,ghidra; ida; ameba-sdk,Realtek Ameba Wi-Fi CSI API; AmebaD SDK / Arduino core,BW16 module; Rtlduino RTL8720DN board; A1 Pico,verified,https://aiot.realmcu.com/en/latest/rtos/wifi/csi/index.html; https://www.amebaiot.com/en/amebad/; https://www.cnx-software.com/2021/01/10/rtlduino-rtl8720dn-dual-band-wifi-iot-board-features-2-4-5ghz-wireless-mcu/,"The SDR-interesting Realtek: dual-band Wi-Fi MCU with OFFICIAL Wi-Fi CSI API (per-subcarrier I/Q, amplitude+phase, active/passive modes). Open documented FreeRTOS SDK, Cortex-M4+M0. Cheap BW16 boards. Tier 2 / rung-2 CSI. Ameba CSI framework spans RTL8721Dx/8720E/8730E/8735C."
realtek-rtl8720e,Realtek,Ameba (AmebaLite MCU),RTL8720E; RTL8710E; RTL8713E; RTL8726E,RTL8720E; RTL8710E; RTL8713E; RTL8726E,802.11n,2.4GHz; 5GHz,2,csi; monitor; open-firmware,Arm Cortex-M55,documented,Ameba SDK; GCC; CSI API,Ameba Wi-Fi CSI API,AmebaLite dev boards; IoT sensing modules,verified,https://aiot.realmcu.com/en/latest/rtos/wifi/csi/index.html; https://www.amebaiot.com/en/,"AmebaLite generation (RTL8720E/8710E/8713E/8726E). Realtek's Wi-Fi CSI docs explicitly list these as CSI-capable: per-subcarrier I/Q as S(8,4)/S(16,12) fixed-point with configurable subcarrier decimation, active or passive mode. Genuine rung-2 CSI on open/documented firmware. Tier 2, verified."
realtek-rtl8721f,Realtek,Ameba (AmebaDplus MCU),RTL8721F,RTL8721F; RTL8721Fx,802.11n; BLE,2.4GHz; 5GHz,2,csi; monitor; open-firmware,Arm Cortex-M55 + M0,documented,Ameba SDK; GCC; CSI API,Ameba Wi-Fi CSI API,AmebaDplus modules; BW-class dev boards,verified,https://aiot.realmcu.com/en/latest/rtos/wifi/csi/index.html; https://www.amebaiot.com/en/,"AmebaDplus successor to the catalogued RTL8720DN (RTL8721Dx / AmebaD). Listed in Realtek's CSI docs as CSI-capable (S(8,x)/S(16,x) I/Q). Dual-band + BLE, open documented SDK. Net-new rung-2 target alongside the 8720DN. Tier 2, verified."
realtek-rtl8723,Realtek,RTL8723,RTL8723AU; RTL8723BU; RTL8723DU; RTL8723BS,RTL8723AU; RTL8723BU; RTL8723DU; RTL8723BS,802.11n; Bluetooth,2.4GHz,1,monitor; injection,8051-class MCU + HW MAC/baseband (+BT),closed,ghidra; ida,rtl8xxxu / rtl8723bs (in-kernel),SBC/laptop Wi-Fi+BT combo modules,reported,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtl8xxxu,2.4GHz n + Bluetooth combo. Station mode solid; monitor possible but injection weak/driver-dependent. Catalogued for completeness.
realtek-rtl8723ae,Realtek,RTL8723A (n+BT combo),RTL8723AE,RTL8723AE,802.11n; Bluetooth,2.4GHz,1,monitor,8051-class MAC ucode,closed,,rtl8723ae (rtlwifi),early Wi-Fi+BT combo mini-PCIe cards,verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtlwifi,"First-gen 1x1 802.11n + Bluetooth combo, PCIe. rtlwifi rtl8723ae monitor RX only; injection unreliable. Catalogued for completeness. Tier 1 (monitor only)."
realtek-rtl8723be,Realtek,RTL8723B (n+BT combo),RTL8723BE; RTL8723BS,RTL8723BE; RTL8723BS,802.11n; Bluetooth,2.4GHz,1,monitor,8051-class MAC ucode,closed,,rtl8723be (rtlwifi); rtl8723bs (staging/mainline SDIO),very common laptop combo (8723BE); tablets/SBCs (8723BS SDIO),verified,https://github.com/torvalds/linux/tree/master/drivers/net/wireless/realtek/rtlwifi; https://www.aircrack-ng.org/doku.php?id=compatibility_drivers,"Extremely common 1x1 n+BT combo — 8723BE (PCIe) in countless budget laptops, 8723BS (SDIO) on tablets/SBCs. Monitor RX works; injection unreliable. Tier 1 (monitor only)."
realtek-rtl8723cs,Realtek,RTL8723C (n+BT combo SDIO),RTL8723CS,RTL8723CS,802.11n; Bluetooth,2.4GHz,1,monitor,8051-class MAC ucode,closed,,rtw88 (rtw8723cs SDIO),TV boxes; SBCs (SDIO),reported,https://github.com/lwfinger/rtw88,"SDIO 1x1 n+BT combo common on TV boxes / SBCs, handled by rtw88 SDIO. Monitor RX; injection unsupported. Tier 1 (monitor only)."
realtek-rtl8723de,Realtek,RTL8723D (n+BT combo),RTL8723DE; RTL8723DS; RTL8723DU,RTL8723DE; RTL8723DS; RTL8723DU,802.11n; Bluetooth,2.4GHz,1,monitor,8051-class MAC ucode,closed,,rtw88 (rtw8723d),laptop combo cards (8723DE); SDIO/USB combos,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/rtw88.html; https://github.com/lwfinger/rtw88,"rtw88-era 1x1 n+BT combo across PCIe (8723DE), SDIO (8723DS), USB (8723DU). rtw88 registers monitor; injection is not a supported/reliable path. Tier 1 (monitor only)."
